date,sub_region_code,demand,temperature_2m,hour,day_of_week,month,is_weekend,is_holiday
2025-01-01 11:00:00+00:00,4,772,6.5959997,11,2,1,0,0
2025-01-01 11:00:00+00:00,0,1555,6.5959997,11,2,1,0,0
2025-01-01 11:00:00+00:00,5,1117,6.5959997,11,2,1,0,0
2025-01-01 11:00:00+00:00,7,215,6.5959997,11,2,1,0,0
2025-01-01 11:00:00+00:00,1,895,6.5959997,11,2,1,0,0
2025-01-01 11:00:00+00:00,8,495,6.5959997,11,2,1,0,0
2025-01-01 11:00:00+00:00,3,618,6.5959997,11,2,1,0,0
2025-01-01 11:00:00+00:00,10,1641,6.5959997,11,2,1,0,0
2025-01-01 11:00:00+00:00,2,1469,6.5959997,11,2,1,0,0
2025-01-01 11:00:00+00:00,6,871,6.5959997,11,2,1,0,0
2025-01-01 11:00:00+00:00,9,4276,6.5959997,11,2,1,0,0
2025-01-01 12:00:00+00:00,1,928,5.446,12,2,1,0,0
2025-01-01 12:00:00+00:00,4,807,5.446,12,2,1,0,0
2025-01-01 12:00:00+00:00,9,4383,5.446,12,2,1,0,0
2025-01-01 12:00:00+00:00,5,1150,5.446,12,2,1,0,0
2025-01-01 12:00:00+00:00,10,1683,5.446,12,2,1,0,0
2025-01-01 12:00:00+00:00,0,1592,5.446,12,2,1,0,0
2025-01-01 12:00:00+00:00,7,222,5.446,12,2,1,0,0
2025-01-01 12:00:00+00:00,6,899,5.446,12,2,1,0,0
2025-01-01 12:00:00+00:00,2,1492,5.446,12,2,1,0,0
2025-01-01 12:00:00+00:00,3,613,5.446,12,2,1,0,0
2025-01-01 12:00:00+00:00,8,509,5.446,12,2,1,0,0
2025-01-01 13:00:00+00:00,5,1185,6.996,13,2,1,0,0
2025-01-01 13:00:00+00:00,0,1636,6.996,13,2,1,0,0
2025-01-01 13:00:00+00:00,8,514,6.996,13,2,1,0,0
2025-01-01 13:00:00+00:00,9,4480,6.996,13,2,1,0,0
2025-01-01 13:00:00+00:00,7,225,6.996,13,2,1,0,0
2025-01-01 13:00:00+00:00,10,1700,6.996,13,2,1,0,0
2025-01-01 13:00:00+00:00,3,616,6.996,13,2,1,0,0
2025-01-01 13:00:00+00:00,6,925,6.996,13,2,1,0,0
2025-01-01 13:00:00+00:00,1,967,6.996,13,2,1,0,0
2025-01-01 13:00:00+00:00,4,837,6.996,13,2,1,0,0
2025-01-01 13:00:00+00:00,2,1516,6.996,13,2,1,0,0
2025-01-01 14:00:00+00:00,0,1670,7.946,14,2,1,0,0
2025-01-01 14:00:00+00:00,8,516,7.946,14,2,1,0,0
2025-01-01 14:00:00+00:00,7,223,7.946,14,2,1,0,0
2025-01-01 14:00:00+00:00,9,4575,7.946,14,2,1,0,0
2025-01-01 14:00:00+00:00,3,624,7.946,14,2,1,0,0
2025-01-01 14:00:00+00:00,4,878,7.946,14,2,1,0,0
2025-01-01 14:00:00+00:00,5,1228,7.946,14,2,1,0,0
2025-01-01 14:00:00+00:00,10,1698,7.946,14,2,1,0,0
2025-01-01 14:00:00+00:00,6,938,7.946,14,2,1,0,0
2025-01-01 14:00:00+00:00,2,1621,7.946,14,2,1,0,0
2025-01-01 14:00:00+00:00,1,1020,7.946,14,2,1,0,0
2025-01-01 15:00:00+00:00,6,928,9.496,15,2,1,0,0
2025-01-01 15:00:00+00:00,3,632,9.496,15,2,1,0,0
2025-01-01 15:00:00+00:00,2,1707,9.496,15,2,1,0,0
2025-01-01 15:00:00+00:00,0,1697,9.496,15,2,1,0,0
2025-01-01 15:00:00+00:00,4,905,9.496,15,2,1,0,0
2025-01-01 15:00:00+00:00,8,548,9.496,15,2,1,0,0
2025-01-01 15:00:00+00:00,10,1693,9.496,15,2,1,0,0
2025-01-01 15:00:00+00:00,9,4633,9.496,15,2,1,0,0
2025-01-01 15:00:00+00:00,5,1269,9.496,15,2,1,0,0
2025-01-01 15:00:00+00:00,7,224,9.496,15,2,1,0,0
2025-01-01 15:00:00+00:00,1,1044,9.496,15,2,1,0,0
2025-01-01 16:00:00+00:00,5,1310,10.296,16,2,1,0,0
2025-01-01 16:00:00+00:00,0,1745,10.296,16,2,1,0,0
2025-01-01 16:00:00+00:00,3,636,10.296,16,2,1,0,0
2025-01-01 16:00:00+00:00,6,941,10.296,16,2,1,0,0
2025-01-01 16:00:00+00:00,7,233,10.296,16,2,1,0,0
2025-01-01 16:00:00+00:00,9,4677,10.296,16,2,1,0,0
2025-01-01 16:00:00+00:00,8,610,10.296,16,2,1,0,0
2025-01-01 16:00:00+00:00,4,930,10.296,16,2,1,0,0
2025-01-01 16:00:00+00:00,1,1092,10.296,16,2,1,0,0
2025-01-01 16:00:00+00:00,2,1779,10.296,16,2,1,0,0
2025-01-01 16:00:00+00:00,10,1709,10.296,16,2,1,0,0
2025-01-01 17:00:00+00:00,9,4814,10.846,17,2,1,0,0
2025-01-01 17:00:00+00:00,5,1338,10.846,17,2,1,0,0
2025-01-01 17:00:00+00:00,1,1106,10.846,17,2,1,0,0
2025-01-01 17:00:00+00:00,7,250,10.846,17,2,1,0,0
2025-01-01 17:00:00+00:00,8,649,10.846,17,2,1,0,0
2025-01-01 17:00:00+00:00,0,1772,10.846,17,2,1,0,0
2025-01-01 17:00:00+00:00,4,943,10.846,17,2,1,0,0
2025-01-01 17:00:00+00:00,3,642,10.846,17,2,1,0,0
2025-01-01 17:00:00+00:00,6,1022,10.846,17,2,1,0,0
2025-01-01 17:00:00+00:00,2,1829,10.846,17,2,1,0,0
2025-01-01 17:00:00+00:00,10,1740,10.846,17,2,1,0,0
2025-01-01 18:00:00+00:00,5,1374,10.496,18,2,1,0,0
2025-01-01 18:00:00+00:00,2,1863,10.496,18,2,1,0,0
2025-01-01 18:00:00+00:00,9,4905,10.496,18,2,1,0,0
2025-01-01 18:00:00+00:00,8,653,10.496,18,2,1,0,0
2025-01-01 18:00:00+00:00,6,1062,10.496,18,2,1,0,0
2025-01-01 18:00:00+00:00,4,964,10.496,18,2,1,0,0
2025-01-01 18:00:00+00:00,10,1906,10.496,18,2,1,0,0
2025-01-01 18:00:00+00:00,7,262,10.496,18,2,1,0,0
2025-01-01 18:00:00+00:00,1,1124,10.496,18,2,1,0,0
2025-01-01 18:00:00+00:00,0,1784,10.496,18,2,1,0,0
2025-01-01 18:00:00+00:00,3,643,10.496,18,2,1,0,0
2025-01-01 19:00:00+00:00,8,674,8.346,19,2,1,0,0
2025-01-01 19:00:00+00:00,1,1132,8.346,19,2,1,0,0
2025-01-01 19:00:00+00:00,0,1781,8.346,19,2,1,0,0
2025-01-01 19:00:00+00:00,2,1844,8.346,19,2,1,0,0
2025-01-01 19:00:00+00:00,7,275,8.346,19,2,1,0,0
2025-01-01 19:00:00+00:00,6,1080,8.346,19,2,1,0,0
2025-01-01 19:00:00+00:00,9,5055,8.346,19,2,1,0,0
2025-01-01 19:00:00+00:00,10,1981,8.346,19,2,1,0,0
2025-01-01 19:00:00+00:00,3,642,8.346,19,2,1,0,0
2025-01-01 19:00:00+00:00,5,1373,8.346,19,2,1,0,0
2025-01-01 19:00:00+00:00,4,970,8.346,19,2,1,0,0
2025-01-01 20:00:00+00:00,9,5161,6.696,20,2,1,0,0
2025-01-01 20:00:00+00:00,10,2098,6.696,20,2,1,0,0
2025-01-01 20:00:00+00:00,4,995,6.696,20,2,1,0,0
2025-01-01 20:00:00+00:00,5,1380,6.696,20,2,1,0,0
2025-01-01 20:00:00+00:00,1,1149,6.696,20,2,1,0,0
2025-01-01 20:00:00+00:00,3,639,6.696,20,2,1,0,0
